Player,Player Link,Player Key,Team,Team Link,Position,Age,2025-26,2026-27,2027-28,2028-29,2029-30
Nick Smith Jr.,https://www.spotrac.com/nba/player/_/id/82206/nick-smith,nick-smith,Charlotte Hornets,https://www.spotrac.com/nba/charlotte-hornets/yearly,PG,20,$2710680,$4890067,RFA,,
Nickeil Alexander-Walker,https://www.spotrac.com/nba/player/_/id/31574/nickeil-alexander-walker,nickeil-alexander-walker,Minnesota Timberwolves,https://www.spotrac.com/nba/minnesota-timberwolves/yearly,SG,26,UFA,,,,
Nicolas Batum,https://www.spotrac.com/nba/player/_/id/6149/nicolas-batum,nicolas-batum,LA Clippers,https://www.spotrac.com/nba/la-clippers/yearly,SF,36,$4901400,UFA,,,
Nicolas Claxton,https://www.spotrac.com/nba/player/_/id/31590/nicolas-claxton,nicolas-claxton,Brooklyn Nets,https://www.spotrac.com/nba/brooklyn-nets/yearly,C,25,$25352272,$23147727,$20943184,UFA,
Nikola Jokic,https://www.spotrac.com/nba/player/_/id/15393/nikola-jokic,nikola-jokic,Denver Nuggets,https://www.spotrac.com/nba/denver-nuggets/yearly,C,29,$55224526,$59033114,$62841702,UFA,
Nikola Jovic,https://www.spotrac.com/nba/player/_/id/78135/nikola-jovic,nikola-jovic,Miami Heat,https://www.spotrac.com/nba/miami-heat/yearly,SF,21,$4445417,RFA,,,
Nikola Topic,https://www.spotrac.com/nba/player/_/id/91737/nikola-topic,nikola-topic,Oklahoma City Thunder,https://www.spotrac.com/nba/oklahoma-city-thunder/yearly,PG,19,$5182920,$5429760,$7482210,RFA,
Nikola Vucevic,https://www.spotrac.com/nba/player/_/id/8067/nikola-vucevic,nikola-vucevic,Chicago Bulls,https://www.spotrac.com/nba/chicago-bulls/yearly,C,34,$21481481,UFA,,,
Noah Clowney,https://www.spotrac.com/nba/player/_/id/82214/noah-clowney,noah-clowney,Brooklyn Nets,https://www.spotrac.com/nba/brooklyn-nets/yearly,PF,20,$3398640,$5414034,UFA,,
Norman Powell,https://www.spotrac.com/nba/player/_/id/17874/norman-powell,norman-powell,LA Clippers,https://www.spotrac.com/nba/la-clippers/yearly,SG,31,$20482758,UFA,,,
Obi Toppin,https://www.spotrac.com/nba/player/_/id/70650/obi-toppin,obi-toppin,Indiana Pacers,https://www.spotrac.com/nba/indiana-pacers/yearly,PF,26,$14000000,$15000000,$16025000,UFA,
Ochai Agbaji,https://www.spotrac.com/nba/player/_/id/78124/ochai-agbaji,ochai-agbaji,Toronto Raptors,https://www.spotrac.com/nba/toronto-raptors/yearly,SF,24,$6383525,RFA,,,
OG Anunoby,https://www.spotrac.com/nba/player/_/id/23618/og-anunoby,og-anunoby,New York Knicks,https://www.spotrac.com/nba/new-york-knicks/yearly,SF,27,$39568966,$42500000,$45431034,$48362068,
Olivier-Maxence Prosper,https://www.spotrac.com/nba/player/_/id/84439/olivier-maxence-prosper,olivier-maxence-prosper,Dallas Mavericks,https://www.spotrac.com/nba/dallas-mavericks/yearly,PF,22,$3007080,$5259383,RFA,,
Onyeka Okongwu,https://www.spotrac.com/nba/player/_/id/70648/onyeka-okongwu,onyeka-okongwu,Atlanta Hawks,https://www.spotrac.com/nba/atlanta-hawks/yearly,C,24,$15000000,$16100000,$16880000,UFA,
Oscar Tshiebwe,https://www.spotrac.com/nba/player/_/id/84732/oscar-tshiebwe,oscar-tshiebwe,Utah Jazz,https://www.spotrac.com/nba/utah-jazz/yearly,PF,25,RFA,,,,
