Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,Player Key,FP,FPPG,FPPM,MPG,FPR
Andrew Wiggins,29,GSW,SF,15,15,420,91,189,.481,31,75,.413,60,114,.526,.563,49,64,.766,26,40,66,35,11,12,13,28,262,0,,andrew-wiggins,345,23.0,0.82,28.0,18.9
Anfernee Simons,25,POR,SG,15,15,445,82,219,.374,32,108,.296,50,111,.450,.447,37,40,.925,4,30,34,58,12,1,38,26,233,0,,anfernee-simons,274,18.3,0.62,29.7,11.2
Anthony Black,21,ORL,PG,19,1,478,57,143,.399,16,56,.286,41,87,.471,.455,39,52,.750,11,41,52,83,21,14,44,43,169,0,,anthony-black,252,13.3,0.53,25.2,7.0
Anthony Davis,31,LAL,C,15,15,528,159,286,.556,13,32,.406,146,254,.575,.579,121,155,.781,40,127,167,42,20,29,31,29,452,0,,anthony-davis,650,43.3,1.23,35.2,53.3
Anthony Edwards,23,MIN,SG,16,16,595,158,335,.472,78,178,.438,80,157,.510,.588,53,68,.779,7,76,83,62,18,9,49,37,447,0,,anthony-edwards,533,33.3,0.9,37.2,29.8
Anthony Gill,32,WAS,PF,10,0,45,9,13,.692,3,4,.750,6,9,.667,.808,1,5,.200,1,6,7,3,3,0,1,2,22,0,,anthony-gill,32,3.2,0.71,4.5,2.3
Antonio Reeves,24,NOP,SG,10,0,104,23,54,.426,8,28,.286,15,26,.577,.500,4,5,.800,3,10,13,5,3,0,3,4,58,0,,antonio-reeves,72,7.2,0.69,10.4,5.0
Ariel Hukporti,22,NYK,C,7,0,68,4,8,.500,0,0,,4,8,.500,.500,1,2,.500,2,12,14,3,0,8,7,11,9,0,,ariel-hukporti,16,2.3,0.24,9.7,0.5
Armel Traoré,22,LAL,SF,2,0,9,0,1,.000,0,1,.000,0,0,,.000,0,2,.000,0,2,2,0,0,0,0,2,0,0,,armel-traore,0,0.0,0.0,4.5,0.0
Ausar Thompson,22,DET,SF,1,0,16,2,8,.250,1,3,.333,1,5,.200,.313,0,0,,0,3,3,4,0,0,1,4,5,0,,ausar-thompson,7,7.0,0.44,16.0,3.1
Austin Reaves,26,LAL,SG,16,16,550,96,216,.444,44,120,.367,52,96,.542,.546,43,56,.768,13,44,57,85,18,4,34,37,279,0,,austin-reaves,372,23.2,0.68,34.4,15.7
Ayo Dosunmu,25,CHI,SG,18,5,523,78,170,.459,20,71,.282,58,99,.586,.518,27,33,.818,11,58,69,77,7,8,24,43,203,0,,ayo-dosunmu,297,16.5,0.57,29.1,9.4
Bam Adebayo,27,MIA,C,14,14,496,86,203,.424,13,38,.342,73,165,.442,.456,46,65,.708,42,92,134,56,24,15,22,27,231,0,,bam-adebayo,411,29.4,0.83,35.4,24.3
Baylor Scheierman,24,BOS,SG,4,0,23,1,7,.143,0,4,.000,1,3,.333,.143,2,2,1.000,2,4,6,1,0,0,0,2,4,0,,baylor-scheierman,9,2.2,0.39,5.8,0.9
Ben Sheppard,23,IND,SG,13,5,272,28,66,.424,19,47,.404,9,19,.474,.568,0,0,,5,24,29,17,5,4,5,33,75,0,,ben-sheppard,92,7.1,0.34,20.9,2.4
Ben Simmons,28,BRK,PG,13,11,322,33,60,.550,0,0,,33,60,.550,.550,3,4,.750,15,59,74,84,11,8,36,36,69,0,,ben-simmons,174,13.4,0.54,24.8,7.2
Bennedict Mathurin,22,IND,SG,18,13,572,107,218,.491,29,72,.403,78,146,.534,.557,87,103,.845,22,101,123,32,14,4,37,45,330,0,,bennedict-mathurin,421,23.4,0.74,31.8,17.2
Bilal Coulibaly,20,WAS,SF,14,14,493,73,139,.525,16,46,.348,57,93,.613,.583,38,50,.760,25,57,82,38,18,11,29,37,200,0,,bilal-coulibaly,283,20.2,0.57,35.2,11.6
Blake Wesley,21,SAS,SG,15,0,171,25,58,.431,3,17,.176,22,41,.537,.457,10,13,.769,4,8,12,23,6,1,15,10,63,0,,blake-wesley,80,5.3,0.47,11.4,2.5
Bobby Portis,29,MIL,PF,16,1,386,89,191,.466,16,50,.320,73,141,.518,.508,16,22,.727,29,92,121,21,7,10,21,26,210,0,,bobby-portis,322,20.1,0.83,24.1,16.8
Bogdan Bogdanović,32,ATL,SG,5,0,123,20,53,.377,11,33,.333,9,20,.450,.481,3,3,1.000,5,11,16,11,2,2,10,13,54,0,,bogdan-bogdanovic,62,12.4,0.5,24.6,6.3
Bol Bol,25,PHO,PF,4,0,20,5,9,.556,1,4,.250,4,5,.800,.611,4,6,.667,2,3,5,1,0,0,1,1,15,0,,bol-bol,19,4.8,0.95,5.0,4.5
Bones Hyland,24,LAC,PG,6,0,39,7,23,.304,4,12,.333,3,11,.273,.391,6,6,1.000,2,2,4,0,3,2,5,5,24,0,,bones-hyland,23,3.8,0.59,6.5,2.3
Bradley Beal,31,PHO,SG,9,9,313,58,122,.475,23,60,.383,35,62,.565,.570,21,26,.808,6,30,36,33,13,8,12,24,160,0,,bradley-beal,214,23.8,0.68,34.8,16.3
Branden Carlson,25,OKC,C,1,0,3,1,1,1.000,0,0,,1,1,1.000,1.000,0,0,,2,2,4,0,0,0,0,0,2,0,,branden-carlson,6,6.0,2.0,3.0,12.0
Brandin Podziemski,21,GSW,SG,16,3,373,46,125,.368,11,57,.193,35,68,.515,.412,12,18,.667,17,52,69,54,12,5,19,32,115,0,,brandin-podziemski,204,12.8,0.55,23.3,7.0
Brandon Boston Jr.,23,NOP,SG,15,9,444,68,161,.422,20,62,.323,48,99,.485,.484,28,34,.824,15,47,62,62,21,4,26,27,184,0,,brandon-boston,280,18.7,0.63,29.6,11.8
Brandon Clarke,28,MEM,PF,17,8,290,49,89,.551,1,16,.063,48,73,.658,.556,11,17,.647,23,50,73,11,14,4,6,30,110,0,,brandon-clarke,176,10.4,0.61,17.1,6.3
Brandon Ingram,27,NOP,SF,16,16,539,144,310,.465,39,107,.364,105,203,.517,.527,39,47,.830,16,76,92,87,13,10,62,41,366,0,,brandon-ingram,465,29.1,0.86,33.7,25.1
Brandon Miller,22,CHO,SF,13,13,433,91,219,.416,47,126,.373,44,93,.473,.523,28,30,.933,10,59,69,49,20,7,36,32,257,0,,brandon-miller,334,25.7,0.77,33.3,19.8
Brandon Williams,25,DAL,PG,5,0,21,2,9,.222,0,2,.000,2,7,.286,.222,2,3,.667,1,3,4,2,0,0,2,2,6,0,,brandon-williams,8,1.6,0.38,4.2,0.6
Brice Sensabaugh,21,UTA,SF,10,0,135,22,47,.468,12,29,.414,10,18,.556,.596,8,9,.889,7,16,23,5,3,1,11,5,64,0,,brice-sensabaugh,80,8.0,0.59,13.5,4.7
Bronny James,20,LAL,SG,6,0,16,1,6,.167,0,4,.000,1,2,.500,.167,2,2,1.000,1,0,1,2,1,0,0,2,4,0,,bronny-james,6,1.0,0.38,2.7,0.4
Brook Lopez,36,MIL,C,17,17,558,77,166,.464,32,93,.344,45,73,.616,.560,23,31,.742,22,70,92,29,24,39,21,44,209,0,,brook-lopez,328,19.3,0.59,32.8,11.3
Bruno Fernando,26,TOR,C,13,0,115,21,42,.500,0,0,,21,42,.500,.500,6,8,.750,20,22,42,17,1,7,10,22,48,0,,bruno-fernando,83,6.4,0.72,8.8,4.6
Buddy Hield,32,GSW,SG,17,1,403,94,205,.459,58,135,.430,36,70,.514,.600,17,19,.895,14,48,62,29,13,5,20,35,263,0,,buddy-hield,317,18.6,0.79,23.7,14.7
Cade Cunningham,23,DET,PG,17,17,618,149,340,.438,38,106,.358,111,234,.474,.494,63,78,.808,19,104,123,151,15,15,79,43,399,4,,cade-cunningham,581,34.2,0.94,36.4,32.1
Caleb Houstan,22,ORL,SF,11,0,52,3,15,.200,2,12,.167,1,3,.333,.267,0,0,,1,6,7,0,0,1,0,6,8,0,,caleb-houstan,10,0.9,0.19,4.7,0.2
Caleb Martin,29,PHI,SF,16,15,513,54,131,.412,14,46,.304,40,85,.471,.466,36,53,.679,25,54,79,40,17,9,32,30,158,0,,caleb-martin,241,15.1,0.47,32.1,7.1
