Player,Player Link,Player Key,Team,Team Link,Age,Position,2024-25,2025-26,2026-27,2027-28,2028-29
Luka Doncic,https://www.spotrac.com/nba/player/_/id/26969,luka-doncic,Dallas Mavericks,https://www.spotrac.com/nba/dallas-mavericks/yearly,25,PG,$43031940,$45999660,$48967380,UFA,
Luka Garza,https://www.spotrac.com/nba/player/_/id/74159,luka-garza,Minnesota Timberwolves,https://www.spotrac.com/nba/minnesota-timberwolves/yearly,26,C,$2162606,$2349578,UFA,,
Luke Kennard,https://www.spotrac.com/nba/player/_/id/23607,luke-kennard,Memphis Grizzlies,https://www.spotrac.com/nba/memphis-grizzlies/yearly,28,SG,$9250000,UFA,,,
Luke Kornet,https://www.spotrac.com/nba/player/_/id/23670,luke-kornet,Boston Celtics,https://www.spotrac.com/nba/boston-celtics/yearly,29,C,$2087519,UFA,,,
Luke Travers,https://www.spotrac.com/nba/player/_/id/78166,luke-travers,Cleveland Cavaliers,https://www.spotrac.com/nba/cleveland-cavaliers/yearly,23,SG,Two-Way,RFA,,,
Mac McClung,https://www.spotrac.com/nba/player/_/id/74267,mac-mcclung,Orlando Magic,https://www.spotrac.com/nba/orlando-magic/yearly,26,PG,Two-Way,RFA,,,
Malaki Branham,https://www.spotrac.com/nba/player/_/id/78120,malaki-branham,San Antonio Spurs,https://www.spotrac.com/nba/san-antonio-spurs/yearly,21,SG,$3217920,$4962033,RFA,,
Malcolm Brogdon,https://www.spotrac.com/nba/player/_/id/20242,malcolm-brogdon,Washington Wizards,https://www.spotrac.com/nba/washington-wizards/yearly,32,PG,$22500000,UFA,,,
Malik Beasley,https://www.spotrac.com/nba/player/_/id/20224,malik-beasley,Detroit Pistons,https://www.spotrac.com/nba/detroit-pistons/yearly,28,SG,$6000000,UFA,,,
Malik Monk,https://www.spotrac.com/nba/player/_/id/23606,malik-monk,Sacramento Kings,https://www.spotrac.com/nba/sacramento-kings/yearly,26,SG,$17405203,$18797619,$20190035,$21582451,UFA
Marcus Sasser,https://www.spotrac.com/nba/player/_/id/84442,marcus-sasser,Detroit Pistons,https://www.spotrac.com/nba/detroit-pistons/yearly,24,PG,$2755080,$2886720,$5198983,RFA,
Marcus Smart,https://www.spotrac.com/nba/player/_/id/15358,marcus-smart,Memphis Grizzlies,https://www.spotrac.com/nba/memphis-grizzlies/yearly,30,PG,$20210285,$21586856,UFA,,
MarJon Beauchamp,https://www.spotrac.com/nba/player/_/id/78134,marjon-beauchamp,Milwaukee Bucks,https://www.spotrac.com/nba/milwaukee-bucks/yearly,24,SG,$2733720,UFA,,,
Mark Williams,https://www.spotrac.com/nba/player/_/id/78121,mark-williams,Charlotte Hornets,https://www.spotrac.com/nba/charlotte-hornets/yearly,23,C,$4094280,$6276531,RFA,,
Markieff Morris,https://www.spotrac.com/nba/player/_/id/8064,markieff-morris,Dallas Mavericks,https://www.spotrac.com/nba/dallas-mavericks/yearly,35,PF,$2087519,UFA,,,
Marvin Bagley III,https://www.spotrac.com/nba/player/_/id/26968,marvin-bagley,Washington Wizards,https://www.spotrac.com/nba/washington-wizards/yearly,25,PF,$12500000,UFA,,,
Mason Jones,https://www.spotrac.com/nba/player/_/id/70713,mason-jones,Sacramento Kings,https://www.spotrac.com/nba/sacramento-kings/yearly,26,SG,Two-Way,RFA,,,
Mason Plumlee,https://www.spotrac.com/nba/player/_/id/13335,mason-plumlee,Phoenix Suns,https://www.spotrac.com/nba/phoenix-suns/yearly,34,C,$2087519,UFA,,,
Matas Buzelis,https://www.spotrac.com/nba/player/_/id/91738,matas-buzelis,Chicago Bulls,https://www.spotrac.com/nba/chicago-bulls/yearly,20,SF,$5195520,$5455560,$5715360,$7584283,RFA
Matisse Thybulle,https://www.spotrac.com/nba/player/_/id/31577,matisse-thybulle,Portland Trail Blazers,https://www.spotrac.com/nba/portland-trail-blazers/yearly,27,SG,$11025000,$11550000,UFA,,
Matt Ryan,https://www.spotrac.com/nba/player/_/id/74472,matt-ryan,New York Knicks,https://www.spotrac.com/nba/new-york-knicks/yearly,27,SF,$1919558,UFA,,,
Max Christie,https://www.spotrac.com/nba/player/_/id/78136,max-christie,Los Angeles Lakers,https://www.spotrac.com/nba/los-angeles-lakers/yearly,21,SG,$7142857,$7714286,$8285714,$8857143,UFA
Max Strus,https://www.spotrac.com/nba/player/_/id/32411,max-strus,Cleveland Cavaliers,https://www.spotrac.com/nba/cleveland-cavaliers/yearly,28,SG,$15212068,$15936452,$16660836,UFA,
Maxi Kleber,https://www.spotrac.com/nba/player/_/id/24212,maxi-kleber,Dallas Mavericks,https://www.spotrac.com/nba/dallas-mavericks/yearly,33,PF,$11000000,$11000000,UFA,,
Maxwell Lewis,https://www.spotrac.com/nba/player/_/id/82318,maxwell-lewis,Los Angeles Lakers,https://www.spotrac.com/nba/los-angeles-lakers/yearly,22,SF,$1891857,$2221677,$2406205,UFA,
Micah Potter,https://www.spotrac.com/nba/player/_/id/74418,micah-potter,Utah Jazz,https://www.spotrac.com/nba/utah-jazz/yearly,26,C,Two-Way,RFA,,,
Michael Porter Jr.,https://www.spotrac.com/nba/player/_/id/26980,michael-porter,Denver Nuggets,https://www.spotrac.com/nba/denver-nuggets/yearly,26,SF,$35859950,$38333050,$40806150,UFA,
Mikal Bridges,https://www.spotrac.com/nba/player/_/id/26976,mikal-bridges,New York Knicks,https://www.spotrac.com/nba/new-york-knicks/yearly,28,SF,$23300000,$24900000,UFA,,
Mike Conley,https://www.spotrac.com/nba/player/_/id/2532,mike-conley,Minnesota Timberwolves,https://www.spotrac.com/nba/minnesota-timberwolves/yearly,37,PG,$9975962,$10774038,UFA,,
Miles Bridges,https://www.spotrac.com/nba/player/_/id/26978,miles-bridges,Charlotte Hornets,https://www.spotrac.com/nba/charlotte-hornets/yearly,26,SF,$27173913,$25000000,$22826087,UFA,
Miles McBride,https://www.spotrac.com/nba/player/_/id/74143,miles-mcbride,New York Knicks,https://www.spotrac.com/nba/new-york-knicks/yearly,24,PG,$4710144,$4333333,$3956523,UFA,
