Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,Player Link,Team Link,Player Key,FP,FPPG,FPPM,MPG,FPR
Caris LeVert,,DET,,54,,1052,,,,,,,,,,,,,,,,107,147,47,35,76,85,398,,,https://www.nba.com/player/caris-levert,https://www.nba.com/team/DET,caris-levert,573,10.6,0.54,19.5,5.8
Carter Bryant,,SAS,,64,,693,,,,,,,,,,,,,,,,156,34,13,17,26,74,249,,,https://www.nba.com/player/carter-bryant,https://www.nba.com/team/SAS,carter-bryant,369,5.8,0.53,10.8,3.1
Cason Wallace,,OKC,,73,,1959,,,,,,,,,,,,,,,,224,193,144,27,71,148,628,,,https://www.nba.com/player/cason-wallace,https://www.nba.com/team/OKC,cason-wallace,997,13.7,0.51,26.8,7.0
Cedric Coward,,MEM,,58,,1503,,,,,,,,,,,,,,,,351,165,36,24,101,115,774,,,https://www.nba.com/player/cedric-coward,https://www.nba.com/team/MEM,cedric-coward,1134,19.6,0.75,25.9,14.8
Chaney Johnson,,BKN,,12,,232,,,,,,,,,,,,,,,,49,28,11,5,14,38,87,,,https://www.nba.com/player/chaney-johnson,https://www.nba.com/team/BKN,chaney-johnson,128,10.7,0.55,19.3,5.9
Charles Bassey,,BOS,,7,,46,,,,,,,,,,,,,,,,20,2,2,4,2,6,17,,,https://www.nba.com/player/charles-bassey,https://www.nba.com/team/BOS,charles-bassey,37,5.3,0.8,6.6,4.3
Chaz Lanier,,DET,,29,,230,,,,,,,,,,,,,,,,20,15,7,0,2,11,73,,,https://www.nba.com/player/chaz-lanier,https://www.nba.com/team/DET,chaz-lanier,102,3.5,0.44,7.9,1.6
Chet Holmgren,,OKC,,65,,1904,,,,,,,,,,,,,,,,579,109,37,120,101,148,1108,,,https://www.nba.com/player/chet-holmgren,https://www.nba.com/team/OKC,chet-holmgren,1704,26.2,0.89,29.3,23.5
Chris Boucher,,BOS,,9,,94,,,,,,,,,,,,,,,,18,3,5,7,1,17,21,,,https://www.nba.com/player/chris-boucher,https://www.nba.com/team/BOS,chris-boucher,36,4.0,0.38,10.4,1.5
Chris Livingston,,CLE,,3,,17,,,,,,,,,,,,,,,,3,1,1,0,0,4,9,,,https://www.nba.com/player/chris-livingston,https://www.nba.com/team/CLE,chris-livingston,10,3.3,0.59,5.7,2.0
Chris Mañon,,LAL,,6,,25,,,,,,,,,,,,,,,,6,1,3,2,1,5,2,,,https://www.nba.com/player/chris-manon,https://www.nba.com/team/LAL,chris-manon,8,1.3,0.32,4.2,0.4
Chris Paul,,LAC,,16,,228,,,,,,,,,,,,,,,,28,53,11,0,16,23,47,,,https://www.nba.com/player/chris-paul,https://www.nba.com/team/LAC,chris-paul,100,6.2,0.44,14.2,2.7
Chris Youngblood,,POR,,33,,183,,,,,,,,,,,,,,,,28,12,4,3,2,21,71,,,https://www.nba.com/player/chris-youngblood,https://www.nba.com/team/POR,chris-youngblood,95,2.9,0.52,5.5,1.5
Christian Braun,,DEN,,40,,1263,,,,,,,,,,,,,,,,189,110,26,11,42,97,465,,,https://www.nba.com/player/christian-braun,https://www.nba.com/team/DEN,christian-braun,662,16.6,0.52,31.6,8.7
Christian Koloko,,ATL,,25,,331,,,,,,,,,,,,,,,,72,17,14,22,13,43,64,,,https://www.nba.com/player/christian-koloko,https://www.nba.com/team/ATL,christian-koloko,133,5.3,0.4,13.2,2.1
Chucky Hepburn,,TOR,,2,,13,,,,,,,,,,,,,,,,1,2,1,0,1,2,0,,,https://www.nba.com/player/chucky-hepburn,https://www.nba.com/team/TOR,chucky-hepburn,1,0.5,0.08,6.5,0.0
CJ Huntley,,PHX,,2,,7,,,,,,,,,,,,,,,,0,1,0,0,0,1,2,,,https://www.nba.com/player/cj-huntley,https://www.nba.com/team/PHX,cj-huntley,2,1.0,0.29,3.5,0.3
CJ McCollum,,ATL,,71,,2113,,,,,,,,,,,,,,,,238,269,54,30,127,133,1332,,,https://www.nba.com/player/cj-mccollum,https://www.nba.com/team/ATL,cj-mccollum,1663,23.4,0.79,29.8,18.4
Clint Capela,,HOU,,67,,835,,,,,,,,,,,,,,,,313,45,31,57,38,66,248,,,https://www.nba.com/player/clint-capela,https://www.nba.com/team/HOU,clint-capela,590,8.8,0.71,12.5,6.2
