"Player Link","Player Key","Signed Using","Formatted Signed Using"
"https://www.spotrac.com/nba/player/_/id/20216","domantas-sabonis","Bird Rights","Bird Rights"
"https://www.spotrac.com/nba/player/_/id/91735","donovan-clingan","rookie-scale-exception","Rookie Scale Exception"
"https://www.spotrac.com/nba/player/_/id/23608","donovan-mitchell","Bird Rights","Bird Rights"
"https://www.spotrac.com/nba/player/_/id/26983","donte-divincenzo","non-taxpayer-mid-level-exception","Non Taxpayer Mid Level Exception"
"https://www.spotrac.com/nba/player/_/id/20757","dorian-finney-smith","Bird Rights","Bird Rights"
"https://www.spotrac.com/nba/player/_/id/15363","doug-mcdermott","Minimum","Minimum"
"https://www.spotrac.com/nba/player/_/id/10860","draymond-green","Bird Rights","Bird Rights"
"https://www.spotrac.com/nba/player/_/id/28052","drew-eubanks","cap-space","Cap Space"
"https://www.spotrac.com/nba/player/_/id/27658","duncan-robinson","Bird Rights","Bird Rights"
"https://www.spotrac.com/nba/player/_/id/86051","duop-reath","non-taxpayer-mid-level-exception","Non Taxpayer Mid Level Exception"
"https://www.spotrac.com/nba/player/_/id/15397","dwight-powell","Bird Rights","Bird Rights"
"https://www.spotrac.com/nba/player/_/id/78114","dyson-daniels","rookie-scale-exception","Rookie Scale Exception"
"https://www.spotrac.com/nba/player/_/id/6116","eric-gordon","Minimum","Minimum"
"https://www.spotrac.com/nba/player/_/id/74110","evan-mobley","Bird Rights","Bird Rights"
"https://www.spotrac.com/nba/player/_/id/74115","franz-wagner","Bird Rights","Bird Rights"
"https://www.spotrac.com/nba/player/_/id/20778","fred-vanvleet","cap-space","Cap Space"
"https://www.spotrac.com/nba/player/_/id/28087","gabe-vincent","non-taxpayer-mid-level-exception","Non Taxpayer Mid Level Exception"
"https://www.spotrac.com/nba/player/_/id/6492","garrett-temple","Minimum","Minimum"
"https://www.spotrac.com/nba/player/_/id/32044","garrison-mathews","non-taxpayer-mid-level-exception","Non Taxpayer Mid Level Exception"
"https://www.spotrac.com/nba/player/_/id/15371","gary-harris","Bird Rights","Bird Rights"
"https://www.spotrac.com/nba/player/_/id/20272","gary-payton","non-taxpayer-mid-level-exception","Non Taxpayer Mid Level Exception"
"https://www.spotrac.com/nba/player/_/id/27003","gary-trent","Minimum","Minimum"
"https://www.spotrac.com/nba/player/_/id/20256","georges-niang","non-taxpayer-mid-level-exception","Non Taxpayer Mid Level Exception"
"https://www.spotrac.com/nba/player/_/id/85972","gg-jackson","non-taxpayer-mid-level-exception","Non Taxpayer Mid Level Exception"
"https://www.spotrac.com/nba/player/_/id/13328","giannis-antetokounmpo","",""
"https://www.spotrac.com/nba/player/_/id/31575","goga-bitadze","Early Bird Rights","Early Bird Rights"
"https://www.spotrac.com/nba/player/_/id/82204","gradey-dick","rookie-scale-exception","Rookie Scale Exception"
"https://www.spotrac.com/nba/player/_/id/31579","grant-williams","Bird Rights","Bird Rights"
"https://www.spotrac.com/nba/player/_/id/26987","grayson-allen","Bird Rights","Bird Rights"
"https://www.spotrac.com/nba/player/_/id/20221","guerschon-yabusele","Minimum","Minimum"
"https://www.spotrac.com/nba/player/_/id/78165","gui-santos","second-round-exception","Second Round Exception"
"https://www.spotrac.com/nba/player/_/id/10815","harrison-barnes","Bird Rights","Bird Rights"
"https://www.spotrac.com/nba/player/_/id/28301","haywood-highsmith","Bird Rights","Bird Rights"
"https://www.spotrac.com/nba/player/_/id/74142","herb-jones","Early Bird Rights","Early Bird Rights"
"https://www.spotrac.com/nba/player/_/id/84466","hunter-tyson","second-round-exception","Second Round Exception"
"https://www.spotrac.com/nba/player/_/id/70667","immanuel-quickley","Bird Rights","Bird Rights"
"https://www.spotrac.com/nba/player/_/id/70647","isaac-okoro","Bird Rights","Bird Rights"
"https://www.spotrac.com/nba/player/_/id/91753","isaiah-collier","rookie-scale-exception","Rookie Scale Exception"
"https://www.spotrac.com/nba/player/_/id/23644","isaiah-hartenstein","cap-space","Cap Space"
"https://www.spotrac.com/nba/player/_/id/74129","isaiah-jackson","rookie-scale-exception","Rookie Scale Exception"
"https://www.spotrac.com/nba/player/_/id/70691","isaiah-joe","Early Bird Rights","Early Bird Rights"
"https://www.spotrac.com/nba/player/_/id/70658","isaiah-stewart","Bird Rights","Bird Rights"
"https://www.spotrac.com/nba/player/_/id/20238","ivica-zubac","Bird Rights","Bird Rights"
"https://www.spotrac.com/nba/player/_/id/31559","ja-morant","Bird Rights","Bird Rights"
"https://www.spotrac.com/nba/player/_/id/78109","jabari-smith","rookie-scale-exception","Rookie Scale Exception"
"https://www.spotrac.com/nba/player/_/id/78167","jabari-walker","non-taxpayer-mid-level-exception","Non Taxpayer Mid Level Exception"
"https://www.spotrac.com/nba/player/_/id/78130","jaden-hardy","Early Bird Rights","Early Bird Rights"
"https://www.spotrac.com/nba/player/_/id/78111","jaden-ivey","rookie-scale-exception","Rookie Scale Exception"
"https://www.spotrac.com/nba/player/_/id/70670","jaden-mcdaniels","Bird Rights","Bird Rights"
"https://www.spotrac.com/nba/player/_/id/74135","jaden-springer","rookie-scale-exception","Rookie Scale Exception"
"https://www.spotrac.com/nba/player/_/id/70758","jaesean-tate","Early Bird Rights","Early Bird Rights"
"https://www.spotrac.com/nba/player/_/id/82323","jaime-jaquez","rookie-scale-exception","Rookie Scale Exception"
"https://www.spotrac.com/nba/player/_/id/78141","jake-laravia","rookie-scale-exception","Rookie Scale Exception"
"https://www.spotrac.com/nba/player/_/id/20214","jakob-poeltl","Bird Rights","Bird Rights"
"https://www.spotrac.com/nba/player/_/id/91754","jakobe-walter","rookie-scale-exception","Rookie Scale Exception"
"https://www.spotrac.com/nba/player/_/id/26999","jalen-brunson","Bird Rights","Bird Rights"
"https://www.spotrac.com/nba/player/_/id/78116","jalen-duren","rookie-scale-exception","Rookie Scale Exception"
"https://www.spotrac.com/nba/player/_/id/74109","jalen-green","Bird Rights","Bird Rights"
"https://www.spotrac.com/nba/player/_/id/82210","jalen-hood-schifino","rookie-scale-exception","Rookie Scale Exception"
"https://www.spotrac.com/nba/player/_/id/74127","jalen-johnson","Bird Rights","Bird Rights"
"https://www.spotrac.com/nba/player/_/id/84465","jalen-pickett","second-round-exception","Second Round Exception"
"https://www.spotrac.com/nba/player/_/id/70652","jalen-smith","non-taxpayer-mid-level-exception","Non Taxpayer Mid Level Exception"
"https://www.spotrac.com/nba/player/_/id/74112","jalen-suggs","Bird Rights","Bird Rights"
"https://www.spotrac.com/nba/player/_/id/78126","jalen-williams","rookie-scale-exception","Rookie Scale Exception"
"https://www.spotrac.com/nba/player/_/id/84477","jalen-wilson","non-taxpayer-mid-level-exception","Non Taxpayer Mid Level Exception"
"https://www.spotrac.com/nba/player/_/id/20212","jamal-murray","Bird Rights","Bird Rights"
"https://www.spotrac.com/nba/player/_/id/93955","jamal-shead","second-round-exception","Second Round Exception"
"https://www.spotrac.com/nba/player/_/id/6312","james-harden","Bird Rights","Bird Rights"
"https://www.spotrac.com/nba/player/_/id/6279","james-johnson","Minimum","Minimum"
"https://www.spotrac.com/nba/player/_/id/70644","james-wiseman","Minimum","Minimum"
"https://www.spotrac.com/nba/player/_/id/82201","jarace-walker","rookie-scale-exception","Rookie Scale Exception"
"https://www.spotrac.com/nba/player/_/id/91760","jared-mccain","rookie-scale-exception","Rookie Scale Exception"
"https://www.spotrac.com/nba/player/_/id/26970","jaren-jackson","Bird Rights","Bird Rights"
"https://www.spotrac.com/nba/player/_/id/27007","jarred-vanderbilt","Bird Rights","Bird Rights"
"https://www.spotrac.com/nba/player/_/id/23617","jarrett-allen","Bird Rights","Bird Rights"
"https://www.spotrac.com/nba/player/_/id/32409","javonte-green","Minimum","Minimum"
"https://www.spotrac.com/nba/player/_/id/31565","jaxson-hayes","Minimum","Minimum"
"https://www.spotrac.com/nba/player/_/id/74262","jay-huff","non-taxpayer-mid-level-exception","Non Taxpayer Mid Level Exception"
"https://www.spotrac.com/nba/player/_/id/20208","jaylen-brown","Bird Rights","Bird Rights"
"https://www.spotrac.com/nba/player/_/id/31602","jaylen-nowell","Minimum","Minimum"
"https://www.spotrac.com/nba/player/_/id/93952","jaylen-wells","second-round-exception","Second Round Exception"
"https://www.spotrac.com/nba/player/_/id/78150","jaylin-williams","non-taxpayer-mid-level-exception","Non Taxpayer Mid Level Exception"
"https://www.spotrac.com/nba/player/_/id/91773","jaylon-tyson","rookie-scale-exception","Rookie Scale Exception"
"https://www.spotrac.com/nba/player/_/id/23598","jayson-tatum","Bird Rights","Bird Rights"
"https://www.spotrac.com/nba/player/_/id/2720","jeff-green","cap-space","Cap Space"
"https://www.spotrac.com/nba/player/_/id/15391","jerami-grant","Bird Rights","Bird Rights"
"https://www.spotrac.com/nba/player/_/id/74139","jeremiah-robinson-earl","Minimum","Minimum"
"https://www.spotrac.com/nba/player/_/id/78122","jeremy-sochan","rookie-scale-exception","Rookie Scale Exception"
"https://www.spotrac.com/nba/player/_/id/74166","jericho-sims","cap-space","Cap Space"
"https://www.spotrac.com/nba/player/_/id/82211","jett-howard","rookie-scale-exception","Rookie Scale Exception"
"https://www.spotrac.com/nba/player/_/id/26998","jevon-carter","non-taxpayer-mid-level-exception","Non Taxpayer Mid Level Exception"
"https://www.spotrac.com/nba/player/_/id/8081","jimmy-butler","Bird Rights","Bird Rights"
"https://www.spotrac.com/nba/player/_/id/74215","jock-landale","cap-space","Cap Space"
"https://www.spotrac.com/nba/player/_/id/15852","joe-ingles","Minimum","Minimum"
"https://www.spotrac.com/nba/player/_/id/15355","joel-embiid","Bird Rights","Bird Rights"
"https://www.spotrac.com/nba/player/_/id/23614","john-collins","Bird Rights","Bird Rights"
"https://www.spotrac.com/nba/player/_/id/32170","john-konchar","Bird Rights","Bird Rights"
"https://www.spotrac.com/nba/player/_/id/78117","johnny-davis","rookie-scale-exception","Rookie Scale Exception"
"https://www.spotrac.com/nba/player/_/id/91768","johnny-furphy","second-round-exception","Second Round Exception"
"https://www.spotrac.com/nba/player/_/id/78583","johnny-juzang","Early Bird Rights","Early Bird Rights"
"https://www.spotrac.com/nba/player/_/id/8055","jonas-valanciunas","Bird Rights","Bird Rights"
"https://www.spotrac.com/nba/player/_/id/23601","jonathan-isaac","Bird Rights","Bird Rights"
"https://www.spotrac.com/nba/player/_/id/74114","jonathan-kuminga","rookie-scale-exception","Rookie Scale Exception"
"https://www.spotrac.com/nba/player/_/id/92956","jonathan-mogbo","second-round-exception","Second Round Exception"
"https://www.spotrac.com/nba/player/_/id/15398","jordan-clarkson","Bird Rights","Bird Rights"
