Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,Player Key
Nicolas Batum,36,LAC,PF,13,0,214,15,41,.366,9,30,.300,6,11,.545,.476,4,6,.667,9,25,34,22,6,10,7,19,43,0,,nicolas-batum
Nikola Jokić,29,DEN,C,10,10,381,108,192,.563,22,39,.564,86,153,.562,.620,59,70,.843,45,92,137,117,17,10,41,20,297,6,,nikola-jokic
Nikola Jović,21,MIA,PF,11,8,210,35,73,.479,12,36,.333,23,37,.622,.562,9,12,.750,8,37,45,14,11,1,8,18,91,0,,nikola-jovic
Nikola Vučević,34,CHI,C,13,13,422,112,187,.599,24,53,.453,88,134,.657,.663,25,29,.862,31,99,130,40,9,10,23,31,273,0,,nikola-vucevic
Noah Clowney,20,BRK,PF,11,1,178,24,69,.348,15,44,.341,9,25,.360,.457,11,14,.786,13,23,36,9,4,6,8,26,74,0,,noah-clowney
Norman Powell,31,LAC,SG,13,13,441,106,215,.493,49,102,.480,57,113,.504,.607,46,56,.821,4,39,43,32,15,3,27,27,307,0,,norman-powell
Obi Toppin,26,IND,PF,11,0,227,40,72,.556,11,32,.344,29,40,.725,.632,13,15,.867,10,24,34,16,5,4,9,14,104,0,,obi-toppin
Ochai Agbaji,24,TOR,SG,14,12,453,72,138,.522,27,61,.443,45,77,.584,.620,13,18,.722,16,53,69,27,18,8,15,38,184,0,,ochai-agbaji
OG Anunoby,27,NYK,PF,12,12,439,76,153,.497,25,68,.368,51,85,.600,.578,26,31,.839,10,53,63,29,18,8,16,30,203,0,,og-anunoby
Olivier-Maxence Prosper,22,DAL,PF,8,0,51,6,17,.353,0,3,.000,6,14,.429,.353,1,1,1.000,6,4,10,0,0,0,1,6,13,0,,olivier-maxence-prosper
Onyeka Okongwu,24,ATL,C,11,0,261,49,87,.563,4,21,.190,45,66,.682,.586,24,28,.857,26,45,71,19,8,8,10,24,126,0,,onyeka-okongwu
Orlando Robinson,24,SAC,C,1,0,12,2,2,1.000,1,1,1.000,1,1,1.000,1.250,1,2,.500,2,1,3,0,0,0,1,2,6,0,,orlando-robinson
Oso Ighodaro,22,PHO,PF,8,0,104,9,16,.563,0,0,,9,16,.563,.563,7,7,1.000,8,23,31,3,2,4,5,16,25,0,,oso-ighodaro
Ousmane Dieng,21,OKC,SF,13,0,170,20,57,.351,9,34,.265,11,23,.478,.430,7,9,.778,8,31,39,12,9,4,3,17,56,0,,ousmane-dieng
Pacome Dadiet,19,NYK,SG,5,0,39,3,7,.429,2,4,.500,1,3,.333,.571,2,2,1.000,0,8,8,1,1,1,1,2,10,0,,pacome-dadiet
Paolo Banchero,22,ORL,PF,5,5,182,48,97,.495,11,32,.344,37,65,.569,.552,38,59,.644,12,32,44,28,3,4,11,13,145,0,,paolo-banchero
Pascal Siakam,30,IND,PF,12,12,404,94,172,.547,26,57,.456,68,115,.591,.622,25,33,.758,21,56,77,49,8,2,16,32,239,0,,pascal-siakam
Pat Connaughton,32,MIL,SG,13,0,229,22,62,.355,12,40,.300,10,22,.455,.452,8,10,.800,6,31,37,24,3,2,10,15,64,0,,pat-connaughton
Pat Spencer,28,GSW,PG,3,0,5,2,3,.667,0,0,,2,3,.667,.667,0,0,,0,0,0,1,0,0,0,0,4,0,,pat-spencer
Patrick Baldwin Jr.,22,WAS,SF,7,0,37,7,17,.412,3,9,.333,4,8,.500,.500,1,2,.500,2,5,7,1,2,1,1,3,18,0,,patrick-baldwin
Patrick Williams,23,CHI,PF,13,13,383,45,114,.395,25,60,.417,20,54,.370,.504,19,23,.826,14,55,69,32,15,8,25,18,134,0,,patrick-williams
Patty Mills,36,UTA,PG,9,0,138,11,31,.355,7,24,.292,4,7,.571,.468,3,3,1.000,1,7,8,13,6,2,8,8,32,0,,patty-mills
Paul George,34,PHI,PF,6,6,181,35,88,.398,14,45,.311,21,43,.488,.477,15,18,.833,6,27,33,31,14,2,21,15,99,0,,paul-george
Paul Reed,25,DET,PF,6,0,64,12,19,.632,1,2,.500,11,17,.647,.658,4,5,.800,4,6,10,3,4,4,6,15,29,0,,paul-reed
