"Player","Age","Team","Pos","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","eFG%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Trp-Dbl","Awards","Player Key"
"Dariq Whitehead","20","BRK","SF","1","0","2","0","0","","0","0","","0","0","","","0","0","","0","1","1","0","0","0","2","0","0","0","","dariq-whitehead"
"Darius Garland","25","CLE","PG","15","15","453","117","223",".525","46","101",".455","71","122",".582",".628","41","44",".932","8","28","36","105","18","4","40","37","321","0","","darius-garland"
"David Duke Jr.","25","SAS","SG","1","0","8","1","4",".250","0","1",".000","1","3",".333",".250","1","2",".500","0","0","0","2","0","0","0","1","3","0","","david-duke"
"David Roddy","23","ATL","PF","10","1","188","24","43",".558","9","21",".429","15","22",".682",".663","11","13",".846","4","35","39","19","6","2","12","11","68","0","","david-roddy"
"Davion Mitchell","26","TOR","PG","14","11","406","45","108",".417","14","49",".286","31","59",".525",".481","11","16",".688","9","32","41","84","15","4","29","39","115","0","","davion-mitchell"
"De'Aaron Fox","27","SAC","PG","14","14","522","147","289",".509","30","87",".345","117","202",".579",".561","80","95",".842","14","56","70","78","25","2","51","41","404","0","","deaaron-fox"
"Dean Wade","28","CLE","PF","13","7","285","24","61",".393","18","51",".353","6","10",".600",".541","5","12",".417","8","46","54","20","13","5","4","22","71","0","","dean-wade"
"Deandre Ayton","26","POR","C","11","11","322","68","131",".519","5","13",".385","63","118",".534",".538","5","8",".625","33","83","116","11","10","5","16","22","146","0","","deandre-ayton"
"De'Andre Hunter","27","ATL","SF","3","2","80","17","37",".459","7","15",".467","10","22",".455",".554","17","20",".850","2","14","16","5","2","1","1","12","58","0","","deandre-hunter"
"DeAndre Jordan","36","DEN","C","3","0","35","6","11",".545","0","0","","6","11",".545",".545","0","2",".000","7","8","15","2","0","1","5","4","12","0","","deandre-jordan"
"De'Anthony Melton","26","GSW","SG","6","2","121","22","54",".407","13","35",".371","9","19",".474",".528","5","8",".625","6","14","20","17","7","2","10","18","62","0","","deanthony-melton"
"Dejounte Murray","28","NOP","PG","1","1","30","4","15",".267","0","3",".000","4","12",".333",".267","6","7",".857","0","8","8","10","1","0","1","0","14","0","","dejounte-murray"
"Delon Wright","32","MIL","PG","10","2","175","10","33",".303","4","20",".200","6","13",".462",".364","0","2",".000","4","10","14","22","10","5","4","8","24","0","","delon-wright"
"DeMar DeRozan","35","SAC","SF","12","12","438","102","194",".526","10","25",".400","92","169",".544",".552","61","71",".859","7","42","49","49","20","8","23","15","275","0","","demar-derozan"
"Deni Avdija","24","POR","SF","14","10","349","41","115",".357","12","47",".255","29","68",".426",".409","41","50",".820","18","62","80","43","15","11","27","24","135","0","","deni-avdija"
"Dennis Schröder","31","BRK","PG","14","14","479","87","193",".451","40","94",".426","47","99",".475",".554","39","45",".867","2","38","40","85","18","0","30","34","253","0","","dennis-schroder"
"Dereck Lively II","20","DAL","C","10","3","226","36","53",".679","0","0","","36","53",".679",".679","14","26",".538","26","42","68","22","6","16","12","34","86","0","","dereck-lively"
"Derrick Jones Jr.","27","LAC","SF","14","14","365","55","115",".478","22","50",".440","33","65",".508",".574","11","14",".786","21","28","49","14","18","4","18","33","143","0","","derrick-jones"
"Derrick White","30","BOS","SG","14","14","480","91","197",".462","53","131",".405","38","66",".576",".596","30","35",".857","16","47","63","60","12","16","21","35","265","0","","derrick-white"
"Desmond Bane","26","MEM","SG","7","6","188","47","97",".485","15","43",".349","32","54",".593",".562","14","16",".875","7","37","44","23","7","4","14","17","123","0","","desmond-bane"
"Devin Booker","28","PHO","SG","14","14","512","109","251",".434","38","107",".355","71","144",".493",".510","80","91",".879","19","35","54","93","15","7","30","27","336","0","","devin-booker"
"Devin Vassell","24","SAS","SG","4","0","90","22","49",".449","10","27",".370","12","22",".545",".551","11","11","1.000","1","4","5","14","2","2","7","9","65","0","","devin-vassell"
"Dillon Brooks","29","HOU","SF","14","14","443","65","154",".422","29","73",".397","36","81",".444",".516","17","20",".850","16","32","48","17","10","2","10","42","176","0","","dillon-brooks"
"Dillon Jones","23","OKC","SF","13","0","100","13","35",".371","3","19",".158","10","16",".625",".414","3","6",".500","10","14","24","9","3","1","6","14","32","0","","dillon-jones"
"D.J. Carton","24","TOR","SG","4","0","33","1","7",".143","0","3",".000","1","4",".250",".143","1","1","1.000","0","4","4","3","2","0","4","1","3","0","","dj-carton"
"Domantas Sabonis","28","SAC","C","13","13","474","100","156",".641","12","30",".400","88","126",".698",".679","50","59",".847","37","126","163","86","8","6","44","47","262","3","","domantas-sabonis"
"Dominick Barlow","21","ATL","SF","2","0","11","0","1",".000","0","0","","0","1",".000",".000","1","2",".500","0","0","0","0","0","0","0","1","1","0","","dominick-barlow"
"Donovan Clingan","20","POR","C","14","3","227","32","58",".552","1","5",".200","31","53",".585",".560","15","18",".833","37","42","79","3","6","30","13","39","80","0","","donovan-clingan"
