"Player","Player Link","Player Key","Signed Using"
"Jevon Carter","https://www.spotrac.com/nba/player/_/id/26998","jevon-carter","Non-Taxpayer Mid-Level Exception"
"Jimmy Butler","https://www.spotrac.com/nba/player/_/id/8081","jimmy-butler","Bird Rights"
"Jock Landale","https://www.spotrac.com/nba/player/_/id/74215","jock-landale","Cap Space"
"Joe Ingles","https://www.spotrac.com/nba/player/_/id/15852","joe-ingles","Minimum"
"Joel Embiid","https://www.spotrac.com/nba/player/_/id/15355","joel-embiid","Bird Rights"
"John Collins","https://www.spotrac.com/nba/player/_/id/23614","john-collins","Bird Rights"
"John Konchar","https://www.spotrac.com/nba/player/_/id/32170","john-konchar","Bird Rights"
"Johnny Davis","https://www.spotrac.com/nba/player/_/id/78117","johnny-davis","Rookie Scale Exception"
"Johnny Furphy","https://www.spotrac.com/nba/player/_/id/91768","johnny-furphy","Second Round Exception"
"Johnny Juzang","https://www.spotrac.com/nba/player/_/id/78583","johnny-juzang","Early Bird Rights"
"Jonas Valanciunas","https://www.spotrac.com/nba/player/_/id/8055","jonas-valanciunas","Bird Rights"
"Jonathan Isaac","https://www.spotrac.com/nba/player/_/id/23601","jonathan-isaac","Bird Rights"
"Jonathan Kuminga","https://www.spotrac.com/nba/player/_/id/74114","jonathan-kuminga","Rookie Scale Exception"
"Jonathan Mogbo","https://www.spotrac.com/nba/player/_/id/92956","jonathan-mogbo","Second Round Exception"
"Jordan Clarkson","https://www.spotrac.com/nba/player/_/id/15398","jordan-clarkson","Bird Rights"
"Jordan Hawkins","https://www.spotrac.com/nba/player/_/id/82208","jordan-hawkins","Rookie Scale Exception"
"Jordan McLaughlin","https://www.spotrac.com/nba/player/_/id/27975","jordan-mclaughlin","Minimum"
"Jordan Poole","https://www.spotrac.com/nba/player/_/id/31587","jordan-poole","Bird Rights"
"Jordan Walsh","https://www.spotrac.com/nba/player/_/id/84467","jordan-walsh","Second Round Exception"
"Jose Alvarado","https://www.spotrac.com/nba/player/_/id/74331","jose-alvarado","Bird Rights"
"Josh Giddey","https://www.spotrac.com/nba/player/_/id/74113","josh-giddey","Rookie Scale Exception"
"Josh Green","https://www.spotrac.com/nba/player/_/id/70660","josh-green","Bird Rights"
"Josh Hart","https://www.spotrac.com/nba/player/_/id/23625","josh-hart",""
"Josh Minott","https://www.spotrac.com/nba/player/_/id/78156","josh-minott","Non-Taxpayer Mid-Level Exception"
