Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,Player Key,FP,FPPG,FPPM,MPG,FPR
Alex Caruso,30,OKC,SG,12,0,241,18,62,.290,7,37,.189,11,25,.440,.347,5,7,.714,9,28,37,26,22,9,8,32,48,0,,alex-caruso,102,8.5,0.42,20.1,3.6
Alex Ducas,24,OKC,SG,4,0,7,0,3,.000,0,2,.000,0,1,.000,.000,0,0,,0,0,0,0,0,0,0,0,0,0,,alex-ducas,0,0.0,0.0,1.8,0.0
Alex Len,31,SAC,C,12,2,105,11,18,.611,0,4,.000,11,14,.786,.611,2,4,.500,6,24,30,10,2,11,6,14,24,0,,alex-len,57,4.8,0.54,8.8,2.6
Alex Reese,25,OKC,PF,1,0,2,1,1,1.000,0,0,,1,1,1.000,1.000,0,0,,1,0,1,0,0,0,0,0,2,0,,alex-reese,3,3.0,1.5,2.0,4.5
Alex Sarr,19,WAS,C,13,13,332,47,134,.351,12,59,.203,35,75,.467,.396,21,30,.700,24,48,72,30,10,27,16,38,127,0,,alex-sarr,212,16.3,0.64,25.5,10.4
Alperen Sengun,22,HOU,C,15,15,443,103,220,.468,7,25,.280,96,195,.492,.484,50,66,.758,54,111,165,74,15,21,31,42,263,2,,alperen-sengun,465,31.0,1.05,29.5,32.5
Amen Thompson,22,HOU,SF,15,1,380,61,109,.560,4,15,.267,57,94,.606,.578,43,60,.717,29,72,101,34,15,11,23,34,169,0,,amen-thompson,273,18.2,0.72,25.3,13.1
Amir Coffey,27,LAC,SG,15,0,355,47,98,.480,22,49,.449,25,49,.510,.592,27,32,.844,10,27,37,17,9,1,9,24,143,0,,amir-coffey,174,11.6,0.49,23.7,5.7
Andre Drummond,31,PHI,C,12,9,269,40,79,.506,1,5,.200,39,74,.527,.513,19,36,.528,36,74,110,6,15,6,22,36,100,0,,andre-drummond,179,14.9,0.67,22.4,9.9
Andre Jackson Jr.,23,MIL,SG,13,5,227,17,38,.447,9,22,.409,8,16,.500,.566,4,8,.500,4,25,29,19,10,4,18,33,47,0,,andre-jackson,58,4.5,0.26,17.5,1.1
Andrew Nembhard,25,IND,SG,7,7,187,20,52,.385,3,13,.231,17,39,.436,.413,8,10,.800,1,13,14,33,6,0,10,15,51,0,,andrew-nembhard,79,11.3,0.42,26.7,4.8
Andrew Wiggins,29,GSW,SF,11,11,296,57,129,.442,19,50,.380,38,79,.481,.516,34,47,.723,19,27,46,23,9,9,10,21,167,0,,andrew-wiggins,223,20.3,0.75,26.9,15.3
Anfernee Simons,25,POR,SG,12,12,357,68,178,.382,26,87,.299,42,91,.462,.455,33,36,.917,2,22,24,51,9,1,29,16,195,0,,anfernee-simons,235,19.6,0.66,29.8,12.9
Anthony Black,21,ORL,PG,15,1,372,44,104,.423,11,36,.306,33,68,.485,.476,28,37,.757,10,34,44,64,15,13,31,34,127,0,,anthony-black,198,13.2,0.53,24.8,7.0
Anthony Davis,31,LAL,C,13,13,455,139,245,.567,12,29,.414,127,216,.588,.592,109,139,.784,33,115,148,37,17,24,27,23,399,0,,anthony-davis,575,44.2,1.26,35.0,55.9
Anthony Edwards,23,MIN,SG,14,14,520,140,294,.476,67,158,.424,73,136,.537,.590,46,61,.754,6,65,71,53,16,7,44,30,393,0,,anthony-edwards,466,33.3,0.9,37.1,29.8
Anthony Gill,32,WAS,PF,9,0,39,7,11,.636,2,3,.667,5,8,.625,.727,1,4,.250,1,6,7,3,2,0,1,2,17,0,,anthony-gill,26,2.9,0.67,4.3,1.9
Antonio Reeves,24,NOP,SG,8,0,52,9,24,.375,4,13,.308,5,11,.455,.458,1,1,1.000,0,6,6,1,3,0,3,2,23,0,,antonio-reeves,28,3.5,0.54,6.5,1.9
Ariel Hukporti,22,NYK,C,7,0,68,4,8,.500,0,0,,4,8,.500,.500,1,2,.500,2,12,14,3,0,8,7,11,9,0,,ariel-hukporti,16,2.3,0.24,9.7,0.5
Armel Traoré,22,LAL,SF,1,0,4,0,1,.000,0,1,.000,0,0,,.000,0,0,,0,1,1,0,0,0,0,1,0,0,,armel-traore,0,0.0,0.0,4.0,0.0
Austin Reaves,26,LAL,SG,14,14,485,86,191,.450,40,109,.367,46,82,.561,.555,39,49,.796,11,41,52,76,16,4,29,36,251,0,,austin-reaves,334,23.9,0.69,34.6,16.4
Ayo Dosunmu,25,CHI,SG,15,3,423,63,146,.432,16,63,.254,47,83,.566,.486,25,29,.862,10,52,62,61,4,8,18,35,167,0,,ayo-dosunmu,249,16.6,0.59,28.2,9.8
Bam Adebayo,27,MIA,C,13,13,458,78,183,.426,10,32,.313,68,151,.450,.454,46,65,.708,39,84,123,51,24,15,20,25,212,0,,bam-adebayo,380,29.2,0.83,35.2,24.3
Baylor Scheierman,24,BOS,SG,3,0,18,1,6,.167,0,4,.000,1,2,.500,.167,2,2,1.000,1,3,4,0,0,0,0,2,4,0,,baylor-scheierman,6,2.0,0.33,6.0,0.7
